Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Antigua and Barbuda,ATG,725017797.078603,765852579.867499,792378893.688898,853982006.114636,930448715.97739,908545265.087681,986287531.805169,1058186578.23935,1120726315.55169,1179062728.72772,1286084000.36346,1249182221.10529,1281936562.40118,1384844082.52149,1503706773.30921,1649973687.94851,1916277837.12391,2149957059.41263,2191116102.83498,1940507461.52742,1814425571.81548,1816047262.12083,1771798543.10742,1720170788.92087,1762288334.80494,1769549897.41954,1882863521.88954,1893259104.10692,2081131964.4162,2215888204.98844
Australia,AUS,295778010676.733,307384820984.262,318004709396.511,337773085109.463,358017393657.172,377319206951.193,402061981370.686,424500651324.36,452294979969.252,478153359805.698,504076625618.318,531072356919.526,564353642750.787,591532611248.396,629984591318.752,664362022420.762,709741846655.075,761175325039.229,795980320105.904,874217977125.874,865883084146.728,937507114248.881,973601321979.203,1061628486313.88,1100545339758.17,1102112573342.41,1145437703598.51,1203164227083.2,1275026604983.54,1352431673323.79
Austria,AUT,149232561323.718,159588972388.223,166643018112.698,171490050297.844,179359424579.268,188005852802.756,195128419193.771,202532855128.362,212777040272.827,220639956878.73,235436116744.555,238980854446.326,251984858807.042,260771892808.661,275748269094.012,288086851811.747,311039320003.298,326756619923.805,343812802543,341721658045.841,351576515990.438,373031463577.163,391635006784.26,406370494341.228,417059741085.658,431091486465.673,459839268477.882,480672624842.608,502771138675.55,524728424244.656
Azerbaijan,AZE,38372744919.9728,39392724404.0297,31184807121.5874,24549296763.9389,20134034152.9033,18130578048.1698,18702567635.257,20128527279.5323,22390586000.698,24394687744.477,27708367369.1933,31119426600.2032,34595460525.7547,38835124894.3477,43571124846.1434,57490995229.4037,79645398628.4955,102609960818.272,115685123783.592,127488303325.142,135150732839.619,135803575412.212,148339507564.977,161864879226.656,166328757240.292,144145726475.687,140229738154.492,139152809949.428,144573505574.142,150357954012.627
Burundi,BDI,3345350710.349,3631297001.79245,3751562787.36453,3600803880.17042,3536838974.57823,3325009278.76295,3115019926.48543,3118352164.60185,3303238723.3441,3317086594.0098,3362180905.97122,3506563882.65991,3720415742.30822,3743134142.90915,4029708575.72665,4192628759.54647,4553356026.0148,4837073837.85183,5170900206.31459,5408976901.03296,5752399507.76969,6109378663.94635,6386094258.45455,7069203706.21655,7649427870.69596,8551152238.70251,8358351140.30498,8375481076.5592,8711138068.8432,9026329302.46691
Belgium,BEL,185929456761.029,195740618052.321,203265766756.14,206080365514.085,217273103765.511,227118978742.505,230596250406.231,241542563912.424,248631437863.998,260168701709.78,284933266798.329,296257206516.574,312900377877.018,320612812417.695,333830859759.856,347658412088.972,371463742038.671,390526169837.718,405729462246.522,407954861225.586,434371355469.353,451932718764.387,469720618339.766,487343797679.386,503619406808.679,521017424704.67,550808613604.066,577007008859.085,597058697423.143,626399512740.897
Benin,BEN,6270776392.9756,6756790490.74786,7115172193.88699,7708842782.60258,8032531108.1846,8696724038.88225,9238920764.61026,9937195430.08318,10447084312.781,11164002187.085,12082144945.3384,13005648454.3899,13824774838.3424,14566421816.7955,15621198733.8206,16383743019.0358,17545233924.9558,19095081324.3183,20419698276.225,21052570732.3872,21748137021.5206,22860459982.9645,24308499989.2082,26709146743.0221,29146860808.5474,30530995255.4114,32668486802.0226,34023063767.8921,37158284360.6436,40401850885.7136
Burkina Faso,BFA,5197657135.54811,5860798394.11752,6008310142.11521,6363562001.02804,6584916366.96389,7107302250.17022,8034624531.56616,8689458702.62432,9429408684.5615,10273801310.5702,10701824788.9377,11659840501.047,12359848400.7094,13571668357.0562,14561210412.6411,16315345253.113,17860180506.883,19093979812.2814,20594373474.7796,21366020198.7385,23440650603.5312,25515102554.621,26835475975.0516,28735314121.1823,29760893893.8537,31032905189.7743,35310579538.7544,39413493482.9675,43094804968.8568,46340464706.0381
Bangladesh,BGD,87748263787.7999,93877344335.2855,101242611310.562,108524457883.952,115153754825.612,123589335905.126,131544492396.724,139820891613.516,148714640980.518,157907269453.173,169982595270.864,182530845819.154,192525354925.9,205395060516.787,221976201948.575,243850798378.037,267992064315.811,294615714187.251,318408577699.378,337022540291.954,359946740266.512,391220073587.411,443598789939.633,480218563286.77,520423230999.264,555570050290.634,608047295851.346,664403729316.888,733561248619.401,807199735044.102
Bulgaria,BGR,65709629870.2954,62194689835.9315,58985934756.2442,59489671736.7453,61864625171.4239,64968369740.8742,57173536435.2613,47781773047.7142,51007006825.9115,47685794314.2469,52488430058.4563,55759141410.8366,61023165058.3313,65373281344.573,70942301509.2996,78822084261.4183,86608671601.8735,96565937176.0237,107411079958.873,105623017310.439,109990115831.443,115083648626.799,118659552117.733,120468470227.776,126819807733.502,131658428003.254,141742313480.649,151163661579.869,158775695747.694,171332939789.409
Bahrain,BHR,13328441546.5553,15326578269.6456,16724571519.7162,19324274619.2694,19687578475.5366,20890337552.8945,22147161352.4531,23225888957.5177,24612343460.1903,26041308041.5472,28034516575.3376,29363075269.9737,30826319471.8435,33375800391.1456,36667026445.3014,40368485982.2319,44279752027.9797,49240429569.6156,53333105095.6642,55104616844.1509,58162953476.271,60555691596.7436,65875368137.9427,67716644746.8625,68275971746.1039,62674723143.7923,63861304143.329,71181343281.1449,74287027092.4141,76957607395.2232
"Bahamas, The",BHS,5508065649.91534,5456210139.2378,5367063571.69467,5511135918.43434,5806066321.0047,6187373827.74646,6566777120.01834,6817771935.11603,7219685564.35323,7847153140.37142,8355450342.15155,8762920741.06333,9142276726.47519,9194285983.47324,9525171784.26707,10155362989.3166,10726015053.1204,11173470262.3626,11126090341.1853,10742825399.9384,11035240655.9441,11334803747.5783,11713401054.5107,11696246707.33,12068674582.088,12551675125.6658,12918665946.4129,13479375207.722,14013481833.712,14514363029.2154
Bosnia and Herzegovina,BIH,,,,,3752039578.73378,4627501868.18135,8904125257.49843,12172560345.1305,14229856747.4002,15821097420.5945,17064386656.7584,17842951739.3414,19310143106.9649,20214975389.4334,23340458088.5187,24398125368.2441,27883174430.2121,30809763433.6286,33896653245.139,33762957418.0694,34663026117.5012,36525700073.2409,37145900944.1396,39027264522,39811461257.0881,41200068496.6042,43987661861.9753,46212469927.114,49634148336.0385,52128318314.9018
Belarus,BLR,53309645725.3973,54451100763.3939,50345559503.5141,47621468559.011,42947676407.6477,39288001961.4508,41127585824.709,46606182133.5165,51089722708.3654,53589487605.4211,57965141850.9945,62035672869.4052,66196302880.2988,72174548287.9255,82603919629.5456,93183621901.8347,105603898921.947,117766622639.857,132303186470.157,133578417142.424,145673123597.781,156715098657.899,171037674358.344,179366145726.605,179597949624.117,171204463522.202,168421837005.779,173630155305.786,183324275683.221,188800278484.087
Belize,BLZ,625500587.164192,720786080.222768,826115829.138501,898761653.989289,919407320.831673,944733114.687196,975771301.577959,1027781728.92313,1078228018.01151,1189819814.17615,1374753312.47022,1470674157.22038,1564774380.21245,1742595039.07314,1875176919.7489,1971141970.33852,2128758736.75107,2197001041.84387,2317948279.34649,2340745758.87592,2439104661.96817,2537811117.02841,2458230064.96457,2498480517.91407,2533821314.57158,2614739805.09176,2644913918.3395,2671291731.08144,2791470929.41866,2847714969.18066
Bermuda,BMU,1747651973.13357,1742895704.3539,1781549817.26694,1878628767.02573,1930249651.35529,2057418780.29336,2149573085.99876,2287225578.35212,2403174551.58492,2520336302.54377,2816750852.67111,3086434468.81303,3088922057.57026,3253596862.29519,3418748528.61776,3584260403.84848,3897447318.31128,4116040231.47538,4260214633.40377,4065858909.3175,4027100513.28034,3973928713.46512,3794787655.94713,3865908375.90595,,,,,,
Bolivia,BOL,16301788687.1968,17740647194.2358,18443696174.9616,19686750669.9091,21045591835.5536,22492097313.8436,23902853713.7935,25519649848.3671,27104797579.8495,27613515719.2576,28938783152.0026,30071493194.4319,31306422245.0889,32752399546.4797,35037816257.3087,37726654104.2437,40732857693.391,43736202762.0725,47328355638.6668,49290089165.8678,51922207793.1908,55765338146.592,61452959794.6552,69841188111.4267,75554053124.4561,77543289243.1017,82736157903.0732,94285208356.1806,100586269210.267,104608725399.779
